,name,store_page,full_price,discount,final_price,category
80,STAR WARS™ Rebellion,https://www.gog.com/game/star_wars_rebellion,159,-63%,59,strategy
81,Zeus + Poseidon (Acropolis),https://www.gog.com/game/zeus_poseidon,349,,349,strategy
82,Warlords III: Darklords Rising,https://www.gog.com/game/warlords_iii_darklords_rising,389,,389,strategy
83,Disciples 2 Gold,https://www.gog.com/game/disciples_2_gold,199,,199,strategy
84,Dungeon Keeper™ 2,https://www.gog.com/game/dungeon_keeper_2,249,,249,strategy
85,Caesar II,https://www.gog.com/game/caesar_ii,149,-20%,119,strategy
86,Age of Wonders: Planetfall,https://www.gog.com/game/age_of_wonders_planetfall,930,,930,strategy
87,Dungeon Keeper Gold™,https://www.gog.com/game/dungeon_keeper,249,,249,strategy
88,Warcraft: Orcs and Humans,https://www.gog.com/game/warcraft_orcs_and_humans,289,,289,strategy
89,"Colonization, Sid Meier's",https://www.gog.com/game/sid_meiers_colonization,169,-71%,49,strategy
90,The Settlers® 2: 10th Anniversary,https://www.gog.com/game/the_settlers_2_10th_anniversary,599,,599,strategy
91,Frostpunk: Сезонный абонемент,https://www.gog.com/game/frostpunk_season_pass,499,,499,strategy
92,"Warhammer 40,000: Mechanicus - Heretek+ Edition ",https://www.gog.com/game/warhammer_40000_mechanicus_heretek_edition,449,-29%,319,strategy
93,Populous™: The Beginning,https://www.gog.com/game/populous_the_beginning,199,,199,strategy
94,Pizza Connection 3,https://www.gog.com/game/pizza_connection_3,639,-59%,259,strategy
95,Empires: Dawn of the Modern World,https://www.gog.com/game/empires_dawn_of_the_modern_world,249,,249,strategy
96,Sid Meier's Civilization® III Complete,https://www.gog.com/game/sid_meiers_civilization_iii_complete,279,,279,strategy
97,Empire Earth 3,https://www.gog.com/game/empire_earth_3,649,,649,strategy
98,Theme Hospital,https://www.gog.com/game/theme_hospital,199,,199,strategy
99,The Settlers® 2: Gold Edition,https://www.gog.com/game/the_settlers_2_gold_edition,599,,599,strategy
100,The Settlers® 4: Gold Edition,https://www.gog.com/game/the_settlers_4_gold_edition,599,,599,strategy
101,BATTLETECH,https://www.gog.com/game/battletech_game,725,,725,strategy
102,Heroes Chronicles: All Chapters,https://www.gog.com/game/heroes_chronicles_all_chapters,599,,599,strategy
103,FTL: Advanced Edition,https://www.gog.com/game/faster_than_light,249,,249,strategy
104,Homeworld: Deserts of Kharak - Soban Fleet Pack,https://www.gog.com/game/deserts_of_kharak_soban_fleet_pack,169,-71%,49,strategy
105,Dawn of Man,https://www.gog.com/game/dawn_of_man,465,,465,strategy
106,Master of Magic,https://www.gog.com/game/master_of_magic,149,,149,strategy
107,Homeworld® Remastered Soundtrack,https://www.gog.com/game/homeworld_remastered_soundtrack,379,-74%,99,strategy
108,Caesar,https://www.gog.com/game/caesar,149,-20%,119,strategy
109,Stronghold Crusader HD,https://www.gog.com/game/stronghold_crusader,249,,249,strategy
110,Homeworld: Deserts of Kharak - Khaaneph Fleet Pack,https://www.gog.com/game/deserts_of_kharak_khaaneph_fleet_pack,169,-77%,39,strategy
111,Into the Breach,https://www.gog.com/game/into_the_breach,349,,349,strategy
112,Heroes of Might and Magic®,https://www.gog.com/game/heroes_of_might_and_magic,599,,599,strategy
113,Stellaris,https://www.gog.com/game/stellaris,699,,699,strategy
114,S.W.I.N.E. HD Remaster,https://www.gog.com/game/swine_hd_remaster,259,-15%,220,strategy
115,Stellaris: Lithoids Species Pack,https://www.gog.com/game/stellaris_lithoids_species_pack,195,,195,strategy
116,BATTLETECH - Heavy Metal,https://www.gog.com/game/battletech_heavy_metal,435,,435,strategy
117,Castles 1+2,https://www.gog.com/game/castles_castles_2,249,-64%,89,strategy
118,Battle Realms + Winter of the Wolf,https://www.gog.com/game/battle_realms_winter_of_the_wolf,649,,649,strategy
